,card_name,card_rarity,card_number,market_price,median_price
0,Aegislash (107),Holo Rare,107/163,0.31,
1,Aegislash (108),Rare,108/163,0.12,0.22
2,Baltoy,Common,057/163,0.07,0.10
3,Bellsprout,Common,001/163,0.07,0.11
4,Bisharp,Uncommon,104/163,0.06,0.10
5,Blipbug,Common,017/163,0.07,0.10
6,Boltund,Rare,053/163,0.16,0.25
7,Bouffalant,Uncommon,118/163,0.06,0.12
8,Bronzong,Holo Rare,102/163,2.67,
9,Bronzor,Common,101/163,0.07,0.10
10,Bruno,Uncommon,121/163,0.22,0.25
11,Bruno (Full Art),Ultra Rare,158/163,9.43,
12,Bruno (Secret),Secret Rare,172/163,20.17,
13,Bruxish,Uncommon,043/163,0.08,0.12
14,Cacnea,Common,004/163,0.05,0.10
15,Cacturne,Uncommon,005/163,0.06,0.15
16,Camping Gear,Uncommon,122/163,0.19,0.25
17,Carkol,Uncommon,079/163,0.06,0.15
18,Carnivine,Uncommon,009/163,0.06,0.15
19,Centiskorch,Rare,030/163,0.14,0.24
20,Cherrim,Holo Rare,008/163,0.53,
21,Cherubi,Common,007/163,0.06,0.10
22,Cheryl,Uncommon,123/163,0.31,0.30
23,Cheryl (Full Art),Ultra Rare,159/163,30.03,
24,Cheryl (Secret),Secret Rare,173/163,37.47,
25,Chimecho,Common,059/163,0.09,0.11
26,Claydol,Rare,058/163,0.10,0.25
27,Coalossal,Holo Rare,080/163,0.32,
28,Conkeldurr,Rare,075/163,0.07,0.15
29,Corphish,Common,038/163,0.07,0.10
30,Corviknight V,Ultra Rare,109/163,3.78,
31,Corviknight V (Full Art),Ultra Rare,156/163,15.71,
32,Corviknight VMAX,Ultra Rare,110/163,10.96,
33,Corviknight VMAX (Secret),Secret Rare,171/163,25.77,
34,Crawdaunt,Uncommon,039/163,0.07,0.16
35,Crobat,Holo Rare,091/163,0.60,
36,Cubone,Common,069/163,0.05,0.10
37,Dottler,Uncommon,064/163,0.06,0.13
38,Doublade,Uncommon,106/163,0.09,0.15
39,Drampa,Rare,119/163,0.12,0.20
40,Durant,Uncommon,010/163,0.06,0.15
41,Electabuzz,Common,044/163,0.06,0.11
42,Electivire,Rare,045/163,0.06,0.17
43,Emboar,Holo Rare,025/163,0.43,
44,Empoleon V,Ultra Rare,040/163,2.17,
45,Empoleon V (Alternate Full Art),Ultra Rare,146/163,43.08,
46,Empoleon V (Full Art),Ultra Rare,145/163,14.60,
47,Energy Recycler,Uncommon,124/163,0.22,0.25
48,Entei,Holo Rare,020/163,0.61,0.90
49,Escape Rope,Uncommon,125/163,0.41,0.25
50,Espurr,Common,060/163,0.08,0.11
51,Exp. Share,Uncommon,126/163,0.21,0.25
52,Exp. Share (Secret),Secret Rare,180/163,10.42,
53,Falinks,Rare,083/163,0.12,0.25
54,Fan of Waves,Uncommon,127/163,0.30,0.25
55,Fearow,Uncommon,112/163,0.07,0.15
56,Flapple V,Ultra Rare,018/163,1.27,
57,Flapple V (Full Art),Ultra Rare,143/163,7.38,
58,Flapple VMAX,Ultra Rare,019/163,2.87,
59,Flapple VMAX (Secret),Secret Rare,164/163,13.68,
60,Fomantis,Common,014/163,0.08,0.10
61,Frillish,Common,041/163,0.07,0.10
62,Galarian Mr. Mime,Common,034/163,0.07,0.10
63,Galarian Mr. Rime,Rare,035/163,0.23,0.23
64,Galarian Slowbro,Rare,092/163,0.13,0.20
65,Galarian Slowpoke,Common,054/163,0.06,0.13
66,Glameow,Common,115/163,0.06,0.11
67,Gligar,Common,071/163,0.08,0.10
68,Gliscor,Uncommon,072/163,0.06,0.13
69,Golbat,Uncommon,090/163,0.07,0.15
70,Grumpig,Uncommon,056/163,0.06,0.15
71,Gurdurr,Uncommon,074/163,0.05,0.15
72,Heatmor,Uncommon,026/163,0.07,0.12
73,Honchkrow,Uncommon,094/163,0.06,0.15
74,Honedge,Common,105/163,0.08,0.10
75,Horsea,Common,031/163,0.10,0.10
76,Houndoom,Holo Rare,096/163,2.14,
77,Houndoom (Secret),Secret Rare,179/163,62.56,
78,Houndour,Common,095/163,0.09,0.15
79,Indeedee,Uncommon,120/163,0.05,0.15
80,Jellicent,Rare,042/163,0.11,0.18
81,Kingdra,Holo Rare,033/163,0.42,
82,Korrina's Focus,Uncommon,128/163,0.22,0.25
83,Korrina's Focus (Full Art),Ultra Rare,160/163,25.47,
84,Korrina's Focus (Secret),Secret Rare,174/163,29.58,
85,Kricketune V,Ultra Rare,006/163,1.99,
86,Kricketune V (Full Art),Ultra Rare,142/163,10.48,
87,Level Ball,Uncommon,129/163,0.33,0.30
88,Level Ball (Secret),Secret Rare,181/163,24.82,
89,Lickilicky,Rare,114/163,0.10,0.15
90,Lickitung,Common,113/163,0.06,0.10
91,Lurantis,Rare,015/163,0.09,0.13
92,Luxio,Uncommon,047/163,0.05,0.15
93,Luxray,Holo Rare,048/163,0.62,
94,Mankey,Common,066/163,0.06,0.15
95,Marowak,Rare,070/163,0.12,0.25
96,Mawile,Common,100/163,0.07,0.11
97,Meowstic,Holo Rare,061/163,0.43,
98,Mienfoo,Common,076/163,0.04,0.13
99,Mienshao,Rare,077/163,0.14,0.25
